Date,ModelYear,Month,Day,Rainfall_mm,EnsembleMember
2031-06-09,2031,6,9,4.007335e-05,01
2031-06-10,2031,6,10,3.688419e-05,01
2031-06-11,2031,6,11,1.336754e-05,01
2031-06-12,2031,6,12,0.118892044,01
2031-06-13,2031,6,13,0.087421834,01
2031-06-14,2031,6,14,0.74482566,01
2031-06-15,2031,6,15,0.00050824176,01
2031-06-16,2031,6,16,1.1771802,01
2031-06-17,2031,6,17,1.7641653,01
2031-06-18,2031,6,18,5.992667,01
2031-06-19,2031,6,19,3.6031637,01
2031-06-20,2031,6,20,4.1683936,01
2031-06-21,2031,6,21,9.391475,01
2031-06-22,2031,6,22,2.31153,01
2031-06-23,2031,6,23,1.7502222,01
2031-06-24,2031,6,24,2.4625168,01
2031-06-25,2031,6,25,1.6946392,01
2031-06-26,2031,6,26,1.827403,01
2031-06-27,2031,6,27,0.4529761,01
2031-06-28,2031,6,28,10.685106,01
2031-06-29,2031,6,29,1.0458547,01
2031-06-30,2031,6,30,17.202236,01
2031-07-01,2031,7,1,2.6796064,01
2031-07-02,2031,7,2,4.792292,01
2031-07-03,2031,7,3,0.48956147,01
2031-07-04,2031,7,4,4.9390006,01
2031-07-05,2031,7,5,4.526365,01
2031-07-06,2031,7,6,0.05027245,01
2031-07-07,2031,7,7,1.246205,01
2031-07-08,2031,7,8,6.605518,01
2031-07-09,2031,7,9,4.08738,01
2031-07-10,2031,7,10,3.2379928,01
2031-07-11,2031,7,11,1.7652113,01
2031-07-12,2031,7,12,2.3403754,01
2031-07-13,2031,7,13,0.5290334,01
2031-07-14,2031,7,14,2.506346e-05,01
2031-07-15,2031,7,15,0.00012192643,01
2031-07-16,2031,7,16,5.2571377e-05,01
2031-07-17,2031,7,17,8.96706e-05,01
2031-07-18,2031,7,18,2.5401376e-05,01
2031-07-19,2031,7,19,0.00018083282,01
2031-07-20,2031,7,20,3.2322547,01
2031-07-21,2031,7,21,14.627691,01
2031-07-22,2031,7,22,4.5182675e-05,01
2031-07-23,2031,7,23,1.0247324,01
2031-07-24,2031,7,24,1.8441013,01
2031-07-25,2031,7,25,1.7969398,01
2031-07-26,2031,7,26,0.04331022,01
2031-07-27,2031,7,27,0.0046645747,01
2031-07-28,2031,7,28,0.009250178,01
2031-07-29,2031,7,29,0.48661897,01
2031-07-30,2031,7,30,0.14328775,01
2031-08-01,2031,8,1,0.42216587,01
2031-08-02,2031,8,2,9.11061e-06,01
2031-08-03,2031,8,3,0.014693104,01
2031-08-04,2031,8,4,3.996847e-06,01
2031-08-05,2031,8,5,9.212422e-06,01
2031-08-06,2031,8,6,0.05481155,01
2031-08-07,2031,8,7,6.2897005,01
2031-08-08,2031,8,8,0.6173786,01
2031-08-09,2031,8,9,0.33609492,01
2031-08-10,2031,8,10,13.995715,01
2031-08-11,2031,8,11,1.767755e-05,01
2031-08-12,2031,8,12,0.0028794997,01
2031-08-13,2031,8,13,6.533976,01
2031-08-14,2031,8,14,7.9420104,01
2031-08-15,2031,8,15,0.7988365,01
2031-08-16,2031,8,16,0.45186654,01
2031-08-17,2031,8,17,79.86524,01
2031-08-18,2031,8,18,4.7714996,01
2031-08-19,2031,8,19,2.0714695,01
2031-08-20,2031,8,20,0.23799284,01
2031-08-21,2031,8,21,11.563402,01
2031-08-22,2031,8,22,0.7100393,01
2031-08-23,2031,8,23,2.773773e-05,01
2031-08-24,2031,8,24,1.1717104e-05,01
2031-08-25,2031,8,25,0.2587276,01
2031-08-26,2031,8,26,0.1831219,01
2031-08-27,2031,8,27,0.00010124081,01
2031-08-28,2031,8,28,0.25253335,01
2031-08-29,2031,8,29,4.0019655e-05,01
2031-08-30,2031,8,30,4.2430962e-05,01
2031-09-01,2031,9,1,3.280886e-05,01
2031-09-02,2031,9,2,2.0974462e-06,01
2031-09-03,2031,9,3,2.0171261e-05,01
2031-09-04,2031,9,4,1.1036291e-05,01
2031-09-05,2031,9,5,0.0001136508,01
2031-09-06,2031,9,6,0.0,01
2031-09-07,2031,9,7,0.000285991,01
2031-09-08,2031,9,8,15.93454,01
2031-09-09,2031,9,9,27.047241,01
2031-09-10,2031,9,10,0.01636328,01
2031-09-11,2031,9,11,2.3846016e-05,01
2031-09-12,2031,9,12,3.212444,01
2031-09-13,2031,9,13,8.780789,01
2031-09-14,2031,9,14,6.3262067,01
2031-09-15,2031,9,15,15.217559,01
2031-09-16,2031,9,16,13.204365,01
2031-09-17,2031,9,17,7.4525228,01
2031-09-18,2031,9,18,11.792091,01
2031-09-19,2031,9,19,4.969075,01
2031-09-20,2031,9,20,9.016879,01
2031-09-21,2031,9,21,4.1828065,01
2031-09-22,2031,9,22,12.205494,01
2031-09-23,2031,9,23,1.5804386,01
2031-09-24,2031,9,24,3.8730354,01
2031-09-25,2031,9,25,0.09284224,01
2031-09-26,2031,9,26,0.90290797,01
2031-09-27,2031,9,27,1.4946548,01
2031-09-28,2031,9,28,0.000119527765,01
2031-09-29,2031,9,29,0.022540111,01
2031-09-30,2031,9,30,0.0007908799,01
2031-10-01,2031,10,1,21.501904,01
2031-10-02,2031,10,2,0.000112201466,01
2031-10-03,2031,10,3,0.022381423,01
2031-10-04,2031,10,4,2.829811,01
2031-10-05,2031,10,5,7.5415454,01
2031-10-06,2031,10,6,4.347388,01
2031-10-07,2031,10,7,0.5539897,01
2031-10-08,2031,10,8,3.1468344,01
2031-10-09,2031,10,9,27.028595,01
2031-10-10,2031,10,10,6.261175,01
2031-10-11,2031,10,11,11.735158,01
2031-10-12,2031,10,12,2.5422347,01
2031-10-13,2031,10,13,1.0914458,01
2031-10-14,2031,10,14,0.32027578,01
2031-10-15,2031,10,15,2.12604,01
2031-10-16,2031,10,16,0.0002193139,01
2031-10-17,2031,10,17,13.58236,01
2031-10-18,2031,10,18,6.434726,01
2031-10-19,2031,10,19,16.052668,01
2031-10-20,2031,10,20,0.048481952,01
2031-10-21,2031,10,21,0.011579043,01
2031-10-22,2031,10,22,8.961934,01
2031-10-23,2031,10,23,5.793232,01
2031-10-24,2031,10,24,0.13438849,01
2031-10-25,2031,10,25,0.61476606,01
2031-10-26,2031,10,26,0.24967508,01
2031-10-27,2031,10,27,4.09321,01
2031-10-28,2031,10,28,0.015068971,01
2031-10-29,2031,10,29,0.0060405238,01
2031-10-30,2031,10,30,0.8308712,01
2031-11-01,2031,11,1,0.3012376,01
2031-11-02,2031,11,2,0.22750115,01
2031-11-03,2031,11,3,0.10012239,01
2031-11-04,2031,11,4,1.7988852,01
2031-11-05,2031,11,5,7.579345,01
2031-11-06,2031,11,6,3.0312743,01
2031-11-07,2031,11,7,4.1664495,01
2031-11-08,2031,11,8,0.58611447,01
2031-11-09,2031,11,9,0.099566996,01
2031-11-10,2031,11,10,1.8643539,01
2031-11-11,2031,11,11,2.535796,01
2031-11-12,2031,11,12,0.72340703,01
2031-11-13,2031,11,13,7.077532e-05,01
2031-11-14,2031,11,14,2.2860278e-05,01
2031-11-15,2031,11,15,9.503304e-07,01
2031-11-16,2031,11,16,2.6319934e-05,01
2031-11-17,2031,11,17,0.0027486233,01
2031-11-18,2031,11,18,0.7859188,01
2031-11-19,2031,11,19,0.26799324,01
2031-11-20,2031,11,20,1.3646072,01
2031-11-21,2031,11,21,0.011360263,01
2031-11-22,2031,11,22,0.09746764,01
2031-11-23,2031,11,23,31.276274,01
2031-11-24,2031,11,24,15.144601,01
2031-11-25,2031,11,25,6.0121737,01
2031-11-26,2031,11,26,43.473866,01
2031-11-27,2031,11,27,7.188872,01
2031-11-28,2031,11,28,0.37563565,01
2031-11-29,2031,11,29,27.90701,01
2031-11-30,2031,11,30,1.6499143,01
2031-12-01,2031,12,1,0.00019646063,01
2031-12-02,2031,12,2,0.2058227,01
2031-12-03,2031,12,3,5.6055427,01
2031-12-04,2031,12,4,2.374264e-05,01
2031-12-05,2031,12,5,4.5037384,01
2031-12-06,2031,12,6,7.4068856,01
2031-12-07,2031,12,7,20.779665,01
2031-12-08,2031,12,8,3.0857944,01
2031-12-09,2031,12,9,3.3159947,01
2031-12-10,2031,12,10,12.851211,01
2031-12-11,2031,12,11,6.844828e-05,01
2031-12-12,2031,12,12,0.04864747,01
2031-12-13,2031,12,13,3.3182914,01
2031-12-14,2031,12,14,23.9128,01
2031-12-15,2031,12,15,3.3709476,01
2031-12-16,2031,12,16,32.38402,01
2031-12-17,2031,12,17,22.434238,01
2031-12-18,2031,12,18,14.984824,01
2031-12-19,2031,12,19,5.2912736,01
2031-12-20,2031,12,20,5.295067,01
2031-12-21,2031,12,21,8.03428,01
2031-12-22,2031,12,22,4.1788597,01
2031-12-23,2031,12,23,18.327106,01
2031-12-24,2031,12,24,10.19077,01
2031-12-25,2031,12,25,4.009658,01
2031-12-26,2031,12,26,1.4030427,01
2031-12-27,2031,12,27,3.4259152,01
2031-12-28,2031,12,28,22.13623,01
2031-12-29,2031,12,29,7.0586195,01
2031-12-30,2031,12,30,6.025335,01
2032-01-01,2032,1,1,7.546119,01
2032-01-02,2032,1,2,2.7936103,01
2032-01-03,2032,1,3,60.00895,01
2032-01-04,2032,1,4,11.235011,01
2032-01-05,2032,1,5,3.259214,01
2032-01-06,2032,1,6,7.736174,01
2032-01-07,2032,1,7,5.1350503,01
2032-01-08,2032,1,8,7.8885293,01
2032-01-09,2032,1,9,4.4980717,01
2032-01-10,2032,1,10,0.5608608,01
2032-01-11,2032,1,11,28.292343,01
2032-01-12,2032,1,12,14.329183,01
2032-01-13,2032,1,13,12.409448,01
2032-01-14,2032,1,14,14.839881,01
2032-01-15,2032,1,15,0.85260016,01
2032-01-16,2032,1,16,24.679272,01
2032-01-17,2032,1,17,15.3232155,01
2032-01-18,2032,1,18,6.4062977,01
2032-01-19,2032,1,19,21.230394,01
2032-01-20,2032,1,20,0.2336204,01
2032-01-21,2032,1,21,7.43445,01
2032-01-22,2032,1,22,46.52744,01
2032-01-23,2032,1,23,2.5732608,01
2032-01-24,2032,1,24,1.0450889,01
2032-01-25,2032,1,25,34.656193,01
2032-01-26,2032,1,26,0.72962266,01
2032-01-27,2032,1,27,0.91567653,01
2032-01-28,2032,1,28,1.9837937,01
2032-01-29,2032,1,29,0.016228393,01
2032-01-30,2032,1,30,23.122093,01
2032-02-01,2032,2,1,11.676511,01
2032-02-02,2032,2,2,15.331944,01
2032-02-03,2032,2,3,1.3474423,01
2032-02-04,2032,2,4,41.269344,01
2032-02-05,2032,2,5,6.7353168,01
2032-02-06,2032,2,6,15.903464,01
2032-02-07,2032,2,7,7.095507,01
2032-02-08,2032,2,8,13.047887,01
2032-02-09,2032,2,9,15.944875,01
2032-02-10,2032,2,10,4.504013,01
2032-02-11,2032,2,11,0.41830346,01
2032-02-12,2032,2,12,3.978244e-05,01
2032-02-13,2032,2,13,13.622832,01
2032-02-14,2032,2,14,16.440126,01
2032-02-15,2032,2,15,6.229404,01
2032-02-16,2032,2,16,2.6144693,01
2032-02-17,2032,2,17,9.974005,01
2032-02-18,2032,2,18,0.39318603,01
2032-02-19,2032,2,19,4.995238e-05,01
2032-02-20,2032,2,20,0.011770707,01
2032-02-21,2032,2,21,5.7366004e-05,01
2032-02-22,2032,2,22,0.00029713678,01
2032-02-23,2032,2,23,0.006524706,01
2032-02-24,2032,2,24,10.287546,01
2032-02-25,2032,2,25,2.5719354,01
2032-02-26,2032,2,26,1.6985093,01
2032-02-27,2032,2,27,0.21893345,01
2032-02-28,2032,2,28,1.4990809e-05,01
2032-02-29,2032,2,29,4.547089,01
2032-02-30,2032,2,30,7.1602466e-05,01
2032-03-01,2032,3,1,11.392894,01
2032-03-02,2032,3,2,14.218809,01
2032-03-03,2032,3,3,27.641056,01
2032-03-04,2032,3,4,5.871986,01
2032-03-05,2032,3,5,3.2142565,01
2032-03-06,2032,3,6,0.4284551,01
2032-03-07,2032,3,7,0.6978784,01
2032-03-08,2032,3,8,1.03041,01
2032-03-09,2032,3,9,8.031717,01
2032-03-10,2032,3,10,5.0753546,01
2032-03-11,2032,3,11,5.5764875,01
2032-03-12,2032,3,12,14.672437,01
2032-03-13,2032,3,13,1.4029616,01
2032-03-14,2032,3,14,6.068804,01
2032-03-15,2032,3,15,0.060559716,01
2032-03-16,2032,3,16,34.924416,01
2032-03-17,2032,3,17,33.45411,01
2032-03-18,2032,3,18,4.207706,01
2032-03-19,2032,3,19,1.7947228,01
2032-03-20,2032,3,20,10.330435,01
2032-03-21,2032,3,21,29.593048,01
2032-03-22,2032,3,22,0.038318176,01
2032-03-23,2032,3,23,3.3030916e-05,01
2032-03-24,2032,3,24,1.1925375,01
2032-03-25,2032,3,25,2.4765482,01
2032-03-26,2032,3,26,8.100567,01
2032-03-27,2032,3,27,4.9000683,01
2032-03-28,2032,3,28,3.3907963e-05,01
2032-03-29,2032,3,29,1.6720275,01
2032-03-30,2032,3,30,1.9518629,01
2032-04-01,2032,4,1,1.4520819,01
2032-04-02,2032,4,2,1.9991741,01
2032-04-03,2032,4,3,0.00801119,01
2032-04-04,2032,4,4,0.00018809317,01
2032-04-05,2032,4,5,3.411049e-05,01
2032-04-06,2032,4,6,0.9509653,01
2032-04-07,2032,4,7,0.084757626,01
2032-04-08,2032,4,8,0.12673654,01
2032-04-09,2032,4,9,0.00010019225,01
2032-04-10,2032,4,10,0.32971475,01
2032-04-11,2032,4,11,6.4408596e-05,01
2032-04-12,2032,4,12,8.831609e-06,01
2032-04-13,2032,4,13,0.030224059,01
2032-04-14,2032,4,14,1.4111174,01
2032-04-15,2032,4,15,0.0004081789,01
2032-04-16,2032,4,16,0.028036635,01
2032-04-17,2032,4,17,6.94489e-05,01
2032-04-18,2032,4,18,0.09173564,01
2032-04-19,2032,4,19,0.69553494,01
2032-04-20,2032,4,20,0.0010906546,01
2032-04-21,2032,4,21,0.017200446,01
2032-04-22,2032,4,22,1.8409194,01
2032-04-23,2032,4,23,2.6725713e-05,01
2032-04-24,2032,4,24,6.735852e-05,01
2032-04-25,2032,4,25,0.058106072,01
2032-04-26,2032,4,26,0.6090317,01
