Period,Metric,BaselineLower,Lower,LowerChange,LowerPctChange,BaselineMedian,Median,MedianChange,MedianPctChange,BaselineUpper,Upper,UpperChange,UpperPctChange
2041–2050,VeryHeavyRainDays365,8.11111111111111,10.13888888888889,2.0277777777777786,25.00000000000001,13.180555555555555,15.208333333333332,2.027777777777777,15.384615384615378,20.27777777777778,22.305555555555554,2.027777777777775,9.999999999999986
2041–2050,LongestDrySpell,10.0,11.0,1.0,10.0,15.0,16.0,1.0,6.666666666666667,23.0,24.0,1.0,4.3478260869565215
2051–2060,AnnualRainfall365_mm,1131.2123064685793,1185.4806731776853,54.268366709105976,4.797363536339263,1414.7865590062995,1425.937439635578,11.15088062927839,0.7881669894510737,1735.6417653854971,1741.5167055425147,5.8749401570175905,0.3384880609687754
2051–2060,DryDays365,122.68055555555554,134.74583333333334,12.065277777777794,9.834710743801667,146.0,158.6736111111111,12.673611111111086,8.68055555555554,175.40277777777777,180.5736111111111,5.17083333333332,2.9479768786127094
2051–2060,LightRainDays365,60.83333333333333,58.80555555555555,-2.0277777777777786,-3.333333333333335,75.02777777777777,70.97222222222221,-4.055555555555557,-5.405405405405408,88.80336976320584,85.16666666666666,-3.636703096539179,-4.095230965037078
2051–2060,ModerateRainDays365,78.06944444444444,71.98611111111111,-6.083333333333329,-7.792207792207787,95.30555555555556,87.19444444444444,-8.111111111111114,-8.510638297872344,111.0527777777778,102.43435792349725,-8.61841985428056,-7.760652211263416
2051–2060,HeavyRainDays365,35.48611111111111,36.5,1.0138888888888928,2.8571428571428683,47.0,47.65277777777778,0.6527777777777786,1.3888888888888906,61.0,62.18251366120217,1.1825136612021723,1.9385469855773316
2051–2060,VeryHeavyRainDays365,8.11111111111111,10.13888888888889,2.0277777777777786,25.00000000000001,13.180555555555555,16.22222222222222,3.041666666666666,23.076923076923073,20.27777777777778,22.305555555555554,2.027777777777775,9.999999999999986
2051–2060,LongestDrySpell,10.0,12.0,2.0,20.0,15.0,18.0,3.0,20.0,23.0,29.0,6.0,26.08695652173913
2061–2070,AnnualRainfall365_mm,1131.2123064685793,1177.303573233782,46.09126676520259,4.074501886307301,1414.7865590062995,1502.6125255174657,87.82596651116614,6.207718468349902,1735.6417653854971,1839.9505592014125,104.30879381591535,6.00981123502451
2061–2070,DryDays365,122.68055555555554,130.0,7.319444444444457,5.966262877844458,146.0,155.63194444444446,9.631944444444457,6.59722222222223,175.40277777777777,181.5875,6.184722222222234,3.526011560693649
2061–2070,LightRainDays365,60.83333333333333,58.98387978142077,-1.8494535519125606,-3.0401976195822913,75.02777777777777,69.95833333333333,-5.069444444444443,-6.756756756756756,88.80336976320584,84.15277777777777,-4.650591985428065,-5.236954405929491
2061–2070,ModerateRainDays365,78.06944444444444,72.89861111111111,-5.170833333333334,-6.6233766233766245,95.30555555555556,86.18055555555556,-9.125,-9.574468085106384,111.0527777777778,103.41666666666666,-7.636111111111148,-6.876109957727838
2061–2070,HeavyRainDays365,35.48611111111111,38.42638888888889,2.94027777777778,8.285714285714294,47.0,48.666666666666664,1.6666666666666643,3.5460992907801367,61.0,63.08251366120218,2.082513661202178,3.413956821642915
2061–2070,VeryHeavyRainDays365,8.11111111111111,10.91388888888889,2.802777777777779,34.55479452054796,13.180555555555555,16.22222222222222,3.041666666666666,23.076923076923073,20.27777777777778,24.0,3.7222222222222214,18.35616438356164
2061–2070,LongestDrySpell,10.0,11.9,1.9000000000000004,19.000000000000004,15.0,18.0,3.0,20.0,23.0,27.0,4.0,17.391304347826086
2071–2080,AnnualRainfall365_mm,1131.2123064685793,1119.7653679218845,-11.44693854669481,-1.0119177877784837,1414.7865590062995,1480.166558256449,65.37999925014947,4.621191715029458,1735.6417653854971,1743.171406354116,7.529640968618878,0.43382460129648337
2071–2080,DryDays365,122.68055555555554,132.81944444444443,10.138888888888886,8.264462809917354,146.0,161.20833333333331,15.208333333333314,10.416666666666654,175.40277777777777,188.77281420765024,13.37003642987247,7.622477020752378
2071–2080,LightRainDays365,60.83333333333333,56.77777777777777,-4.055555555555557,-6.66666666666667,75.02777777777777,70.88911657559198,-4.138661202185787,-5.516171909614527,88.80336976320584,83.13888888888889,-5.664480874316951,-6.378677846821902
2071–2080,ModerateRainDays365,78.06944444444444,66.70724043715846,-11.362204007285982,-14.553970619544398,95.30555555555556,84.15277777777777,-11.152777777777786,-11.702127659574476,111.0527777777778,99.46249999999998,-11.590277777777828,-10.436729282873552
2071–2080,HeavyRainDays365,35.48611111111111,36.5,1.0138888888888928,2.8571428571428683,47.0,49.68055555555555,2.68055555555555,5.703309692671383,61.0,62.87499999999999,1.874999999999993,3.073770491803267
2071–2080,VeryHeavyRainDays365,8.11111111111111,11.152777777777777,3.041666666666666,37.49999999999999,13.180555555555555,17.118055555555557,3.9375000000000018,29.873551106427833,20.27777777777778,22.94344262295082,2.6656648451730405,13.145744441949239
2071–2080,LongestDrySpell,10.0,13.0,3.0,30.0,15.0,19.0,4.0,26.666666666666668,23.0,30.19999999999999,7.199999999999989,31.30434782608691
