DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
246,0.8,Yes,,,,1.58,,Yes,,
247,2.4,,,Yes,,2.92,,,Yes,
248,1.5,,Yes,,,4.9,,,Yes,
249,0.9,Yes,,,,3.6,,,Yes,
250,0.3,Yes,,,,0.38,Yes,,,
251,0.8,Yes,,,,3.22,,,Yes,
252,1.4,,Yes,,,2.34,,,Yes,
253,1.6,,Yes,,,7.32,,,,Yes
254,2.7,,,Yes,,3.28,,,Yes,
255,1.9,,Yes,,,2.1,,,Yes,
256,3.8,,,Yes,,5.58,,,,Yes
257,1.9,,Yes,,,2.44,,,Yes,
258,2.0,,Yes,Yes,,0.4,Yes,,,
259,1.1,,Yes,,,0.22,Yes,,,
260,1.5,,Yes,,,6.7,,,,Yes
261,1.4,,Yes,,,0.36,Yes,,,
262,0.9,Yes,,,,0.24,Yes,,,
263,1.6,,Yes,,,7.76,,,,Yes
264,2.2,,,Yes,,0.46,Yes,,,
265,0.9,Yes,,,,1.02,,Yes,,
266,1.4,,Yes,,,15.42,,,,Yes
267,1.1,,Yes,,,9.24,,,,Yes
268,3.9,,,Yes,,0.54,Yes,,,
269,2.8,,,Yes,,4.16,,,Yes,
270,1.9,,Yes,,,3.28,,,Yes,
271,1.8,,Yes,,,6.4,,,,Yes
272,3.3,,,Yes,,0.44,Yes,,,
273,2.0,,Yes,Yes,,4.36,,,Yes,
274,1.8,,Yes,,,0.2,Yes,,,
275,1.5,,Yes,,,6.58,,,,Yes
276,2.3,,,Yes,,7.5,,,,Yes
277,1.3,,Yes,,,3.32,,,Yes,
278,1.0,,Yes,,,0.14,Yes,,,
279,2.7,,,Yes,,0.08,Yes,,,
280,1.8,,Yes,,,2.24,,,Yes,
281,1.4,,Yes,,,0.56,Yes,,,
282,3.1,,,Yes,,3.8,,,Yes,
283,2.4,,,Yes,,0.56,Yes,,,
284,0.8,Yes,,,,2.5,,,Yes,
285,1.5,,Yes,,,3.78,,,Yes,
286,2.2,,,Yes,,6.94,,,,Yes
287,1.4,,Yes,,,1.96,,Yes,,
288,2.2,,,Yes,,0.72,Yes,,,
289,3.1,,,Yes,,1.2,,Yes,,
290,1.1,,Yes,,,0.66,Yes,,,
291,1.5,,Yes,,,3.74,,,Yes,
