DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
276,5.2,,,Yes,,4.1,,Yes,,
277,2.6,,Yes,,,3.5,,Yes,,
278,4.9,,Yes,,,13.8,,,,Yes
279,3.8,,Yes,,,2.7,,Yes,,
280,4.7,,Yes,,,4.3,,Yes,,
281,5.5,,,Yes,,8.3,,,Yes,
282,4.9,,Yes,,,2.6,,Yes,,
283,5.1,,,Yes,,1.0,,Yes,,
284,3.9,,Yes,,,2.4,,Yes,,
285,5.1,,,Yes,,5.7,,,Yes,
286,4.5,,Yes,,,4.5,,Yes,,
287,5.9,,,Yes,,7.1,,,Yes,
288,3.9,,Yes,,,0.6,Yes,,,
289,5.3,,,Yes,,7.1,,,Yes,
290,4.9,,Yes,,,1.9,,Yes,,
291,4.1,,Yes,,,2.8,,Yes,,
292,5.7,,,Yes,,4.8,,Yes,,
293,2.6,,Yes,,,14.4,,,,Yes
294,2.6,,Yes,,,11.5,,,,Yes
295,3.6,,Yes,,,3.3,,Yes,,
296,2.3,,Yes,,,2.5,,Yes,,
297,1.9,,Yes,,,3.9,,Yes,,
298,2.5,,Yes,,,6.8,,,Yes,
299,3.3,,Yes,,,3.8,,Yes,,
300,4.0,,Yes,,,5.7,,,Yes,
301,3.7,,Yes,,,3.8,,Yes,,
302,3.8,,Yes,,,14.9,,,,Yes
303,5.9,,,Yes,,6.4,,,Yes,
304,8.1,,,Yes,,13.0,,,,Yes
305,5.9,,,Yes,,12.9,,,,Yes
306,3.8,,Yes,,,6.8,,,Yes,
307,2.8,,Yes,,,9.1,,,Yes,
308,5.7,,,Yes,,3.0,,Yes,,
309,5.9,,,Yes,,4.0,,Yes,,
310,5.0,,,Yes,,4.8,,Yes,,
311,3.7,,Yes,,,3.6,,Yes,,
312,3.1,,Yes,,,3.8,,Yes,,
313,4.8,,Yes,,,5.8,,,Yes,
314,4.7,,Yes,,,4.3,,Yes,,
315,6.3,,,Yes,,4.1,,Yes,,
316,3.5,,Yes,,,6.2,,,Yes,
317,5.2,,,Yes,,3.7,,Yes,,
318,4.0,,Yes,,,8.1,,,Yes,
319,5.4,,,Yes,,8.0,,,Yes,
