Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
150,12.1,7.1,398.5,1.1,-966.0,-1181.5,-743.7
151,12.5,7.5,406.0,1.3,-978.9,-1196.2,-756.4
152,12.1,7.1,413.1,1.3,-990.4,-1203.5,-767.2
153,12.5,7.5,420.6,1.2,-1004.3,-1220.9,-790.9
154,12.7,7.7,428.3,1.7,-1018.8,-1243.9,-811.4
155,12.6,7.6,435.9,1.2,-1032.8,-1251.3,-833.5
156,12.6,7.6,443.5,3.5,-1043.3,-1264.6,-843.6
157,12.4,7.4,451.0,1.4,-1054.1,-1268.2,-846.6
158,12.5,7.5,458.4,2.4,-1065.9,-1263.7,-843.7
159,12.5,7.5,465.9,2.6,-1076.8,-1258.9,-845.2
160,13.6,8.6,474.4,2.1,-1090.6,-1268.3,-863.7
161,13.4,8.4,482.7,2.0,-1102.8,-1278.6,-871.5
162,13.6,8.6,491.3,3.4,-1112.9,-1292.7,-880.0
163,13.4,8.4,499.8,5.5,-1121.2,-1310.5,-880.7
164,13.1,8.1,508.0,2.6,-1131.7,-1331.5,-850.6
165,13.5,8.5,516.4,2.6,-1141.5,-1345.5,-847.7
166,13.6,8.6,525.0,2.9,-1150.9,-1356.4,-857.4
167,13.7,8.7,533.7,3.6,-1159.6,-1366.6,-866.3
168,13.5,8.5,542.2,3.6,-1169.5,-1387.4,-872.7
169,13.7,8.7,550.9,2.6,-1180.3,-1405.4,-868.8
170,13.6,8.6,559.6,3.7,-1191.7,-1438.0,-873.5
171,13.9,8.9,568.4,3.7,-1202.9,-1458.7,-881.2
172,13.8,8.8,577.2,2.2,-1212.7,-1475.3,-879.9
173,13.9,8.9,586.1,2.9,-1221.3,-1493.4,-881.8
174,13.5,8.5,594.6,2.8,-1230.0,-1512.6,-888.9
175,13.7,8.7,603.3,2.0,-1240.8,-1530.4,-894.0
176,13.9,8.9,612.1,4.0,-1249.1,-1544.4,-902.3
177,13.9,8.9,621.1,2.3,-1260.0,-1560.2,-904.3
178,13.9,8.9,630.0,2.7,-1271.3,-1573.0,-901.6
179,13.8,8.8,638.8,2.1,-1282.3,-1583.8,-929.4
180,14.2,9.2,648.0,1.5,-1294.0,-1598.3,-936.7
181,14.4,9.4,657.4,1.9,-1304.5,-1604.5,-938.2
182,14.5,9.5,666.9,1.4,-1317.1,-1618.1,-931.0
183,14.7,9.7,676.6,3.0,-1327.4,-1623.1,-931.2
184,14.4,9.4,686.1,2.9,-1337.7,-1625.9,-946.3
185,14.6,9.6,695.7,1.1,-1348.5,-1627.3,-950.8
186,14.9,9.9,705.5,2.8,-1358.1,-1638.3,-958.7
187,15.0,10.0,715.5,3.0,-1367.9,-1656.5,-969.3
188,15.1,10.1,725.6,2.7,-1378.9,-1672.9,-973.7
189,15.2,10.2,735.8,3.1,-1389.2,-1684.4,-977.5
190,15.1,10.1,745.9,2.5,-1399.2,-1699.4,-986.9
191,15.1,10.1,756.1,2.8,-1406.3,-1713.5,-992.9
192,15.6,10.6,766.6,4.4,-1414.3,-1732.2,-1023.1
193,15.7,10.7,777.3,3.6,-1422.6,-1748.1,-1035.0
194,15.5,10.5,787.8,2.6,-1430.4,-1756.5,-1042.9
195,15.4,10.4,798.3,3.6,-1437.3,-1764.0,-1055.3
196,15.3,10.3,808.7,3.1,-1446.5,-1775.7,-1071.1
197,15.2,10.2,818.8,4.1,-1452.3,-1787.2,-1086.4
198,15.0,10.0,828.8,2.2,-1460.3,-1795.9,-1103.4
199,15.0,10.0,838.8,2.5,-1469.5,-1806.7,-1123.6
200,15.4,10.4,849.1,1.9,-1477.6,-1808.3,-1138.8
201,15.7,10.7,859.8,2.4,-1486.1,-1824.5,-1158.3
202,16.0,11.0,870.8,1.5,-1496.8,-1836.3,-1182.2
203,15.6,10.6,881.4,2.9,-1506.0,-1838.5,-1197.0
204,15.4,10.4,891.9,3.0,-1514.2,-1839.5,-1226.3
205,15.4,10.4,902.3,1.6,-1522.0,-1838.7,-1238.0
206,15.4,10.4,912.8,2.9,-1529.0,-1854.2,-1262.4
207,15.7,10.7,923.5,2.5,-1537.4,-1873.2,-1277.1
208,15.7,10.7,934.1,3.2,-1543.9,-1893.6,-1288.9
209,15.7,10.7,944.8,5.8,-1547.5,-1909.9,-1301.0
210,15.8,10.8,955.6,2.4,-1553.5,-1928.1,-1313.7
211,15.7,10.7,966.3,0.9,-1560.4,-1947.8,-1327.0
212,15.5,10.5,976.8,1.9,-1566.5,-1961.9,-1330.0
213,15.4,10.4,987.2,3.3,-1570.2,-1967.3,-1319.2
214,15.5,10.5,997.8,4.1,-1573.3,-1968.6,-1295.6
215,15.8,10.8,1008.4,3.9,-1576.9,-1969.0,-1302.0
216,15.4,10.4,1018.9,3.1,-1583.0,-1968.9,-1314.6
