Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
189,17.4,12.4,836.8,1.1,-1601.5,-1981.2,-1386.3
190,17.1,12.1,848.9,0.7,-1614.3,-1995.9,-1398.0
191,16.9,11.9,860.9,1.0,-1625.2,-2006.2,-1407.8
192,17.2,12.2,873.1,4.1,-1633.2,-2022.0,-1420.1
193,17.3,12.3,885.4,1.4,-1642.5,-2043.0,-1436.4
194,17.5,12.5,897.9,1.4,-1655.5,-2066.0,-1452.7
195,17.3,12.3,910.3,2.9,-1663.8,-2077.8,-1467.5
196,17.3,12.3,922.6,1.9,-1673.9,-2098.9,-1487.5
197,17.0,12.0,934.6,0.8,-1684.9,-2105.7,-1501.7
198,16.8,11.8,946.4,0.8,-1695.0,-2119.1,-1517.3
199,16.8,11.8,958.3,0.9,-1705.8,-2133.0,-1516.7
200,17.3,12.3,970.4,1.5,-1717.1,-2157.0,-1510.2
201,17.4,12.4,982.8,0.6,-1729.8,-2177.1,-1531.2
202,17.4,12.4,995.1,1.1,-1742.6,-2187.0,-1534.4
203,17.2,12.2,1007.3,2.2,-1751.9,-2189.2,-1540.4
204,17.4,12.4,1019.7,1.5,-1762.7,-2190.6,-1552.6
205,17.0,12.0,1031.7,1.4,-1772.2,-2193.3,-1565.2
206,17.0,12.0,1043.8,0.6,-1782.0,-2198.7,-1573.2
207,17.4,12.4,1056.2,1.1,-1792.8,-2209.3,-1577.2
208,17.1,12.1,1068.3,1.9,-1801.7,-2219.7,-1588.8
209,17.5,12.5,1080.8,2.4,-1810.6,-2238.3,-1610.4
210,17.5,12.5,1093.2,1.6,-1819.4,-2245.5,-1625.4
211,17.4,12.4,1105.6,2.2,-1826.3,-2256.5,-1630.8
212,17.7,12.7,1118.3,2.7,-1833.6,-2265.8,-1631.8
213,17.2,12.2,1130.5,1.4,-1840.5,-2265.6,-1636.9
214,17.1,12.1,1142.6,4.3,-1842.7,-2268.1,-1623.2
215,17.1,12.1,1154.7,3.0,-1847.6,-2276.7,-1627.0
216,17.2,12.2,1166.9,3.2,-1853.0,-2284.7,-1629.2
217,17.3,12.3,1179.2,2.0,-1858.7,-2284.5,-1636.2
218,16.8,11.8,1191.0,4.2,-1861.5,-2278.1,-1645.2
219,16.6,11.6,1202.5,1.4,-1865.2,-2274.1,-1652.9
220,16.8,11.8,1214.4,1.8,-1869.1,-2266.9,-1651.8
221,17.0,12.0,1226.3,2.3,-1874.7,-2256.9,-1649.1
222,17.0,12.0,1238.3,1.6,-1878.7,-2258.9,-1643.5
223,17.1,12.1,1250.4,0.9,-1884.6,-2261.5,-1646.7
224,17.2,12.2,1262.5,0.9,-1890.1,-2264.9,-1645.7
225,17.2,12.2,1274.6,2.3,-1893.1,-2268.1,-1646.5
226,17.2,12.2,1287.0,2.5,-1895.5,-2270.7,-1658.6
227,17.5,12.5,1299.5,2.3,-1900.0,-2271.5,-1653.5
228,16.7,11.7,1311.2,2.4,-1901.9,-2283.9,-1643.6
229,16.8,11.8,1322.8,1.2,-1906.2,-2292.7,-1626.1
230,16.9,11.9,1334.6,3.1,-1908.2,-2295.7,-1612.6
231,17.0,12.0,1346.6,2.4,-1910.2,-2316.2,-1610.4
232,16.7,11.7,1358.3,1.1,-1913.7,-2322.5,-1608.7
233,16.6,11.6,1369.9,1.4,-1916.3,-2328.7,-1618.8
234,16.6,11.6,1381.6,1.4,-1920.0,-2328.1,-1631.0
235,15.8,10.8,1392.4,1.0,-1921.8,-2324.1,-1641.9
236,16.3,11.3,1403.7,1.4,-1924.4,-2322.2,-1663.3
237,16.4,11.4,1415.1,2.5,-1925.6,-2325.2,-1669.4
238,16.4,11.4,1426.4,1.0,-1928.7,-2333.4,-1682.0
239,16.4,11.4,1437.8,0.2,-1932.4,-2344.2,-1685.0
240,16.6,11.6,1449.3,0.1,-1934.1,-2344.7,-1683.3
241,16.4,11.4,1460.7,1.7,-1933.9,-2346.7,-1678.8
242,15.9,10.9,1471.7,1.9,-1931.7,-2342.6,-1677.1
243,15.4,10.4,1482.1,1.1,-1928.2,-2340.0,-1660.7
244,15.9,10.9,1492.9,2.0,-1926.0,-2339.6,-1645.1
245,15.7,10.7,1503.6,2.7,-1924.1,-2320.8,-1626.4
246,15.8,10.8,1514.4,0.8,-1922.3,-2310.0,-1630.3
247,15.5,10.5,1524.8,2.4,-1918.8,-2305.4,-1624.7
248,15.6,10.6,1535.4,1.5,-1916.6,-2295.0,-1621.7
249,15.4,10.4,1545.8,0.9,-1912.8,-2281.0,-1620.6
250,15.5,10.5,1556.4,0.3,-1910.0,-2266.0,-1627.0
251,15.2,10.2,1566.6,0.8,-1906.7,-2252.7,-1635.8
252,15.2,10.2,1576.8,1.4,-1905.5,-2239.0,-1658.9
253,15.1,10.1,1586.9,1.6,-1900.8,-2235.9,-1640.2
254,15.0,10.0,1596.9,2.7,-1894.6,-2218.3,-1633.4
255,14.8,9.8,1606.7,1.9,-1890.6,-2207.4,-1625.6
256,14.1,9.1,1615.8,3.8,-1882.0,-2197.0,-1601.6
257,13.8,8.8,1624.6,1.9,-1874.6,-2191.6,-1582.8
258,14.4,9.4,1634.0,2.0,-1868.6,-2179.8,-1564.5
259,14.3,9.3,1643.4,1.1,-1863.4,-2166.2,-1554.3
260,14.4,9.4,1652.7,1.5,-1857.7,-2148.6,-1539.3
261,14.3,9.3,1662.0,1.4,-1850.8,-2127.5,-1522.1
262,13.9,8.9,1670.9,0.9,-1844.0,-2108.1,-1508.4
263,13.7,8.7,1679.7,1.6,-1837.7,-2091.2,-1498.0
264,13.8,8.8,1688.4,2.2,-1829.7,-2076.1,-1500.2
